"","Projeto","...2","Ano","...4","Tipo","...6","Autor","...8","Ementa","...10","Situação"
"672",42,"   ",2019,NA,"Projeto de Lei",NA,"Dr. Antônio Aguiar",NA,"Dispõe sobre as vagas de estacionamento destinadas exclusivamente a veículos que transportem pessoas com deficiência e com dificuldade de locomoção no Município de Juiz de Fora.",NA,"Em Tramitação"
"673",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"674",41,"   ",2019,NA,"Projeto de Lei",NA,"Ana Rossignoli",NA,"Altera dispositivo de Lei. (Rua Luiz Larcher)",NA,"Transformado em Norma Jurídica"
"675",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"676",40,"   ",2019,NA,"Projeto de Lei",NA,"Ana Rossignoli",NA,"Altera dispositivo de Lei.",NA,"Transformado em Norma Jurídica"
"677",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"678",39,"   ",2019,NA,"Projeto de Lei",NA,"Júlio Obama Jr.",NA,"Declara de Utilidade Pública, para fins de tombamento como patrimônio cultural da cidade, a Feira Livre de Hortifruti da Av. Brasil de Juiz de Fora.",NA,"Arquivada"
"679",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"680",38,"   ",2019,NA,"Projeto de Lei",NA,"Júlio Obama Jr.",NA,"Dispõe sobre concessão de Título cidadão Benemérito (Tenente Coronel de Infantaria Guilherme Motinha Nunes).",NA,"Transformado em Norma Jurídica"
"681",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"682",37,"   ",2019,NA,"Projeto de Lei",NA,"Vagner de Oliveira",NA,"Dispõe sobre a determinação de tempo máximo para atendimento ao público na agência da CEMIG no Município de Juiz de Fora.",NA,"Transformado em Norma Jurídica"
"683",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"684",36,"   ",2019,NA,"Projeto de Lei",NA,"Vagner de Oliveira",NA,"Dispõe sobre a determinação de tempo máximo para atendimento ao público na agência da CESAMA no Município de Juiz de Fora.",NA,"Transformado em Norma Jurídica"
"685",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"686",35,"   ",2019,NA,"Projeto de Lei",NA,"Marlon Siqueira",NA,"Acrescenta o dispositivo que menciona.",NA,"Transformado em Norma Jurídica"
"687",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"688",34,"   ",2019,NA,"Projeto de Lei",NA,"Nilton Militão",NA,"Implementa a prática da Justiça Restaurativa, como meio de solução de conflitos, no âmbito das escolas do Município de Juiz de Fora.",NA,"Transformado em Norma Jurídica"
"689",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"690",33,"   ",2019,NA,"Projeto de Lei",NA,"Pardal",NA,"Dispõe sobre denominação de Logradouro Público. (Pantaleone Arcuri)",NA,"Transformado em Norma Jurídica"
"691",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"692",32,"   ",2019,NA,"Projeto de Lei",NA,"Ana Rossignoli",NA,"Institui a Campanha Coração de Mulher e dá outras providências.",NA,"Transformado em Norma Jurídica"
"693",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"694",31,"   ",2019,NA,"Projeto de Lei",NA,"Ana Rossignoli",NA,"Solicita, de hospitais e maternidades privadas e públicas, treinamentos dos pais de recém-nascidos para socorro em caso de engasgamento e prevenção de morte súbita.",NA,"Transformado em Norma Jurídica"
"695",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"696",30,"   ",2019,NA,"Projeto de Lei",NA,"Ana Rossignoli",NA,"Dispõe sobre a afixação de placa informativa em farmácias e drogarias do Município de Juiz de Fora contendo advertência quanto aos riscos da automedicação em geral, e dá outras providências.",NA,"Arquivada"
